date	_STAT_	BIDLO	ASKHI	PRC	VOL	RET	BID	ASK	OPENPRC	RETX	vwretd	vwretx	ewretd	ewretx
20000907	MEAN	25.996666667	26.863950732	26.34011687	280051.58537	0.0055790325	26.59146875	26.870135417	26.603202521	0.0055132764	0.007555	0.007526	0.006173	0.006128
20000908	MEAN	25.823368943	26.786542236	25.629288618	327035.43089	-0.008857748	25.694315353	25.966452282	26.696211042	-0.008857748	-0.008858	-0.008865	-0.005497	-0.005528
20000911	MEAN	25.733706829	26.724906016	25.348686545	300208.23984	-0.000261329	26.368446653	26.660564854	26.649502161	-0.000282378	-0.004741	-0.004751	-0.003376	-0.003389
20000912	MEAN	25.557784553	26.528130122	25.36468752	308646.49187	0.0012277398	26.163755187	26.459315353	26.330800966	0.0012252236	-0.005118	-0.005134	-0.002043	-0.002066
20000913	MEAN	25.407766789	26.313567073	25.349382642	277821.22764	0.0017787642	25.87090249	26.155580913	26.166310167	0.0016187073	0.0034	0.003185	0.000282	-0.00001
20000914	MEAN	25.147408577	25.97972313	25.369418252	280948.06504	0.0005056179	25.653541667	25.93290625	25.741270661	0.0004420163	0.001402	0.001373	0.004809	0.004732
20000915	MEAN	24.912291667	25.788447724	24.980078821	419561.86179	-0.010660146	25.190960744	25.489504132	25.690125042	-0.010704366	-0.011256	-0.011264	-0.005824	-0.005848
20000918	MEAN	24.184735772	25.296773415	24.387218049	333181.87398	-0.020554159	24.440928423	24.707162863	25.080366311	-0.020554159	-0.018431	-0.018454	-0.018969	-0.019009
20000919	MEAN	23.803676382	24.75945126	23.386628618	380430.5	-0.003237138	24.130511364	24.407112603	24.592599414	-0.00325774	0.012662	0.012659	0.003364	0.003353
20000920	MEAN	23.85027187	24.682662642	22.770063537	333609.82927	-0.002052167	24.223983402	24.514600622	23.851594979	-0.002052167	-0.004547	-0.004571	-0.005833	-0.005884
20000921	MEAN	23.648470528	24.557276463	23.688767805	356839.3252	-0.005229341	24.215202282	24.492582988	24.517874017	-0.005313833	-0.005616	-0.005638	-0.006877	-0.006914
20000922	MEAN	23.197477195	24.223508659	23.425627561	364909.29675	-0.003030049	23.961014644	24.24915795	24.000070628	-0.003045882	0.004023	0.004019	-0.002157	-0.002173
20000925	MEAN	23.476244919	24.41300813	23.473551829	297145.91057	-0.000272829	23.90040625	24.199177083	24.2090625	-0.000272829	-0.00488	-0.004883	-0.004181	-0.004188
20000926	MEAN	23.329166667	24.326067114	23.048846585	376178.04065	-0.006457187	23.80331095	24.095614669	24.073838912	-0.006457187	-0.009155	-0.009165	-0.009656	-0.009675
20000927	MEAN	23.341336423	24.286351667	23.413899959	352160.42276	-0.001523654	24.028338608	24.312510549	24.132320333	-0.001693451	-0.00247	-0.002645	-0.007019	-0.007397
